quote,philosopher,source
"Library of Congress Cataloging in Publication Data Levinas, Emmanuel. [Autrement qu'etre.",levinas,Otherwise Than Being — Emmanuel Levinas
"English] Otherwise than being, or, Beyond essence / Emmanuel Levinas; translated by Alphonso Lingis. p. cm.",levinas,Otherwise Than Being — Emmanuel Levinas
"Originally published: Dordrecht, Netherlands: M.",levinas,Otherwise Than Being — Emmanuel Levinas
Printed in the United States of America. oo Printed on acid-free paper.,levinas,Otherwise Than Being — Emmanuel Levinas
"Old men, young men and maidens, little children and women - strike them all dead!",levinas,Otherwise Than Being — Emmanuel Levinas
"And begin at my sanctuary!"" Ezekiel, 9:4-6 The sages have said ""Do not read 'begin at my sanctuary,' but 'begin with those that sanctify me/...as teaches the Talmudic Treatise Sabbath, 55a.",levinas,Otherwise Than Being — Emmanuel Levinas
"Commentary of Rachi on Ezekiel 9:6...""That is my place in the sun."" That is how the usurpation of the whole world began.",levinas,Otherwise Than Being — Emmanuel Levinas
"The sheer originality and range of Levinas's thought demand nothing less than a fundamental reorientation of Western spirit —philosophy, logic, rhetoric, praxis, ontology, science, art, politics, religion — in the light of morality and justice.",levinas,Otherwise Than Being — Emmanuel Levinas
A striking continuity links Levinas's writings.,levinas,Otherwise Than Being — Emmanuel Levinas
"At their heart lies the irreducible ethical proximity of one human being to another, morality, and through that encounter a relation to all others, justice.",levinas,Otherwise Than Being — Emmanuel Levinas
"Each successive text branches out, filigrees, presents successively richer, fuller, more nuanced analyses, testifying to the cornucopian genius of Levinas's central ethical vision.",levinas,Otherwise Than Being — Emmanuel Levinas
"A sentence becomes a section, which in turns expands into an entire chapter.",levinas,Otherwise Than Being — Emmanuel Levinas
"Otherwise than Being and Totality and Infinity, especially, are bound to one another, companions, like two tablets, or one.",levinas,Otherwise Than Being — Emmanuel Levinas
"Both are works of ethical metaphysics, distinguished by different but complementary emphases.",levinas,Otherwise Than Being — Emmanuel Levinas
"The four parts of Totality and Infinity deal successively with justice, sensibility, alterity, and eros.",levinas,Otherwise Than Being — Emmanuel Levinas
"Followxii ing from and augmenting these, the themes of Otherwise than Being are moral sensibility and language.",levinas,Otherwise Than Being — Emmanuel Levinas
"The latter are announced in Totality and Infinity, pronounced in Otherwise than Being.",levinas,Otherwise Than Being — Emmanuel Levinas
"Totality and Infinity is focused on ethical alterity, Otherwise than Being on ethical subjectivity.",levinas,Otherwise Than Being — Emmanuel Levinas
"Only an excessive metaphysical desire, a desire for goodness — obligations, responsibilities, the call to justice — can do justice to the radical otherness of the other person.",levinas,Otherwise Than Being — Emmanuel Levinas
The title and the content of Otherwise than Being or Beyond Essence alert us to the priority Levinas gives to his ongoing contestation of Heideggerian thinking.,levinas,Otherwise Than Being — Emmanuel Levinas
